"hersteller"|"generika"|"bag_dossier"|"swissmedic_nr"|"swissmedic_liste"|"einf_datum"|"bezeichnung"|"exf_preis"|"pub_preis"|"limitation"|"lim_pkte"|"therap_gruppe"|"substanzen"|"rec_id"|"x40_percent_selbstbehalt"|"gtin"|"atc"|"gammennummer"|"gammenbezeichnung"|"ggsl"|"preismodell"|"indikationscode"|"swissmedic_no8_parallel_imp"|"ref_biosim_code"|"letzte_preis_anderung"|"zulassungsnummer"
"Neuraxpharm Switzerland AG"|NA|"13860"|"40706046"|"B"|1982-03-15|"Dogmatil 200, Tabl 200 mg, 60 Stk"|"14.26"|"31.9"|NA|NA|"01.05."|"Sulpiridum"|"3247"|"N"|"7680407060468"|"N05AL01"|"755"|"Dogmatil Oral"|"N"|NA|NA|NA|NA|2022-03-01|"40706"
"Mepha Pharma AG"|NA|"14692"|"45998010"|"D"|1993-03-15|"Dolobene, Gel, 50 g"|"4.03"|"7.45"|NA|NA|"02.08.20."|"Heparinum natricum, Dimethylis sulfoxidum, Dexpanthenolum"|"3286"|"N"|"7680459980103"|"C05BA53"|"756"|"Dolobene Topisch"|"N"|NA|NA|NA|NA|2014-11-01|"45998"
"Axapharm AG"|"G"|"21399"|"65863002"|"B"|2022-08-01|"Domperidon axapharm lingual, Schmelztabl 10 mg, Blist 30 Stk"|"2.46"|"11.9"|NA|NA|"04.06."|"Domperidonum"|"42628"|"N"|"7680658630021"|"A03FA03"|"4449"|"Domperidon axapharm Oral"|"N"|NA|NA|NA|NA|2023-12-01|"65863"
"Axapharm AG"|"G"|"21399"|"65863003"|"B"|2022-08-01|"Domperidon axapharm lingual, Schmelztabl 10 mg, Blist 100 Stk"|"6.72"|"16.55"|NA|NA|"04.06."|"Domperidonum"|"42627"|"N"|"7680658630038"|"A03FA03"|"4449"|"Domperidon axapharm Oral"|"N"|NA|NA|NA|NA|2023-12-01|"65863"
"Spirig HealthCare AG"|"G"|"20654"|"66089001"|"B"|2017-06-01|"Domperidon lingual Spirig HC, Schmelztabl 10 mg, 30 Stk"|"2.46"|"11.9"|NA|NA|"04.06."|"Domperidonum"|"37829"|"N"|"7680660890017"|"A03FA03"|"3779"|"Domperidon lingual Spirig HC Oral"|"N"|NA|NA|NA|NA|2023-12-01|"66089"
"Spirig HealthCare AG"|"G"|"20654"|"66089002"|"B"|2017-06-01|"Domperidon lingual Spirig HC, Schmelztabl 10 mg, 100 Stk"|"6.72"|"16.55"|NA|NA|"04.06."|"Domperidonum"|"37828"|"N"|"7680660890024"|"A03FA03"|"3779"|"Domperidon lingual Spirig HC Oral"|"N"|NA|NA|NA|NA|2023-12-01|"66089"
"Mepha Pharma AG"|"G"|"20435"|"65646001"|"B"|2015-11-01|"Domperidon-Mepha oro, Schmelztabl 10 mg, 30 Stk"|"2.46"|"11.9"|NA|NA|"04.06."|"Domperidonum"|"35101"|"N"|"7680656460019"|"A03FA03"|"3554"|"Domperidon-Mepha oro Oral"|"N"|NA|NA|NA|NA|2023-12-01|"65646"
"Mepha Pharma AG"|"G"|"20435"|"65646002"|"B"|2015-11-01|"Domperidon-Mepha oro, Schmelztabl 10 mg, 100 Stk"|"6.72"|"16.55"|NA|NA|"04.06."|"Domperidonum"|"35100"|"N"|"7680656460026"|"A03FA03"|"3554"|"Domperidon-Mepha oro Oral"|"N"|NA|NA|NA|NA|2023-12-01|"65646"
"NOBEL Pharma Schweiz AG"|"G"|"21366"|"68060001"|"B"|2022-04-01|"Donepezil NOBEL lingual, Schmelztabl 5 mg, Blist 28 Stk"|"45.3"|"65.7"|"Y"|NA|"01.99."|"Donepezili hydrochloridum"|"42422"|"N"|"7680680600016"|"N06DA02"|"4405"|"Donepezil NOBEL Oral"|"N"|NA|NA|NA|NA|2022-04-01|"68060"
"NOBEL Pharma Schweiz AG"|"G"|"21366"|"68060002"|"B"|2022-04-01|"Donepezil NOBEL lingual, Schmelztabl 5 mg, Blist 98 Stk"|"157.61"|"187.85"|"Y"|NA|"01.99."|"Donepezili hydrochloridum"|"42423"|"N"|"7680680600023"|"N06DA02"|"4405"|"Donepezil NOBEL Oral"|"N"|NA|NA|NA|NA|2022-04-01|"68060"
"NOBEL Pharma Schweiz AG"|"G"|"21366"|"68060003"|"B"|2022-04-01|"Donepezil NOBEL lingual, Schmelztabl 10 mg, Blist 28 Stk"|"45.3"|"65.7"|"Y"|NA|"01.99."|"Donepezili hydrochloridum"|"42424"|"N"|"7680680600030"|"N06DA02"|"4405"|"Donepezil NOBEL Oral"|"N"|NA|NA|NA|NA|2022-04-01|"68060"
"NOBEL Pharma Schweiz AG"|"G"|"21366"|"68060004"|"B"|2022-04-01|"Donepezil NOBEL lingual, Schmelztabl 10 mg, Blist 98 Stk"|"157.61"|"187.85"|"Y"|NA|"01.99."|"Donepezili hydrochloridum"|"42425"|"N"|"7680680600047"|"N06DA02"|"4405"|"Donepezil NOBEL Oral"|"N"|NA|NA|NA|NA|2022-04-01|"68060"
"Sandoz Pharmaceuticals AG"|"G"|"19921"|"59416001"|"B"|2012-06-01|"Donepezil Sandoz, Filmtabl 5 mg, 28 Stk"|"45.03"|"65.45"|"Y"|NA|"01.99."|"Donepezili hydrochloridum"|"30131"|"N"|"7680594160019"|"N06DA02"|"3001"|"Donepezil Sandoz Oral"|"N"|NA|NA|NA|NA|2021-12-01|"59416"
"Sandoz Pharmaceuticals AG"|"G"|"19921"|"59416003"|"B"|2012-06-01|"Donepezil Sandoz, Filmtabl 5 mg, 98 Stk"|"157.61"|"187.85"|"Y"|NA|"01.99."|"Donepezili hydrochloridum"|"30133"|"N"|"7680594160033"|"N06DA02"|"3001"|"Donepezil Sandoz Oral"|"N"|NA|NA|NA|NA|2021-12-01|"59416"
"Sandoz Pharmaceuticals AG"|"G"|"19921"|"59416004"|"B"|2012-06-01|"Donepezil Sandoz, Filmtabl 10 mg, 28 Stk"|"45.03"|"65.45"|"Y"|NA|"01.99."|"Donepezili hydrochloridum"|"30134"|"N"|"7680594160040"|"N06DA02"|"3001"|"Donepezil Sandoz Oral"|"N"|NA|NA|NA|NA|2021-12-01|"59416"
"Sandoz Pharmaceuticals AG"|"G"|"19921"|"59416006"|"B"|2012-06-01|"Donepezil Sandoz, Filmtabl 10 mg, 98 Stk"|"157.61"|"187.85"|"Y"|NA|"01.99."|"Donepezili hydrochloridum"|"30136"|"N"|"7680594160064"|"N06DA02"|"3001"|"Donepezil Sandoz Oral"|"N"|NA|NA|NA|NA|2021-12-01|"59416"
"Spirig HealthCare AG"|"G"|"20237"|"62829001"|"B"|2014-06-01|"Donepezil Spirig HC, Filmtabl 5 mg, 28 Stk"|"45.55"|"66"|"Y"|NA|"01.99."|"Donepezili hydrochloridum"|"32120"|"N"|"7680628290019"|"N06DA02"|"3369"|"Donepezil Spirig HC Oral"|"N"|NA|NA|NA|NA|2021-12-01|"62829"
"Spirig HealthCare AG"|"G"|"20237"|"62829003"|"B"|2014-06-01|"Donepezil Spirig HC, Filmtabl 5 mg, 98 Stk"|"157.61"|"187.85"|"Y"|NA|"01.99."|"Donepezili hydrochloridum"|"32121"|"N"|"7680628290033"|"N06DA02"|"3369"|"Donepezil Spirig HC Oral"|"N"|NA|NA|NA|NA|2021-12-01|"62829"
"Spirig HealthCare AG"|"G"|"20237"|"62829004"|"B"|2014-06-01|"Donepezil Spirig HC, Filmtabl 10 mg, 28 Stk"|"45.55"|"66"|"Y"|NA|"01.99."|"Donepezili hydrochloridum"|"32122"|"N"|"7680628290040"|"N06DA02"|"3369"|"Donepezil Spirig HC Oral"|"N"|NA|NA|NA|NA|2021-12-01|"62829"
"Spirig HealthCare AG"|"G"|"20237"|"62829006"|"B"|2014-06-01|"Donepezil Spirig HC, Filmtabl 10 mg, 98 Stk"|"157.61"|"187.85"|"Y"|NA|"01.99."|"Donepezili hydrochloridum"|"32123"|"N"|"7680628290064"|"N06DA02"|"3369"|"Donepezil Spirig HC Oral"|"N"|NA|NA|NA|NA|2021-12-01|"62829"
"Mepha Pharma AG"|"G"|"19911"|"60535001"|"B"|2012-06-01|"Donepezil-Mepha, Lactabs 5 mg, 30 Stk"|"48.86"|"69.4"|"Y"|NA|"01.99."|"Donepezili hydrochloridum"|"30555"|"N"|"7680605350019"|"N06DA02"|"3002"|"Donepezil-Mepha Oral"|"N"|NA|NA|NA|NA|2021-12-01|"60535"
"Mepha Pharma AG"|"G"|"19911"|"60535002"|"B"|2012-06-01|"Donepezil-Mepha, Lactabs 5 mg, 50 Stk"|"81.28"|"104.8"|"Y"|NA|"01.99."|"Donepezili hydrochloridum"|"30556"|"N"|"7680605350026"|"N06DA02"|"3002"|"Donepezil-Mepha Oral"|"N"|NA|NA|NA|NA|2021-12-01|"60535"
"Mepha Pharma AG"|"G"|"19911"|"60535003"|"B"|2012-06-01|"Donepezil-Mepha, Lactabs 5 mg, 100 Stk"|"160.82"|"191.15"|"Y"|NA|"01.99."|"Donepezili hydrochloridum"|"30554"|"N"|"7680605350033"|"N06DA02"|"3002"|"Donepezil-Mepha Oral"|"N"|NA|NA|NA|NA|2021-12-01|"60535"
"Mepha Pharma AG"|"G"|"19911"|"60535004"|"B"|2012-06-01|"Donepezil-Mepha, Lactabs 10 mg, 30 Stk"|"48.86"|"69.4"|"Y"|NA|"01.99."|"Donepezili hydrochloridum"|"30558"|"N"|"7680605350040"|"N06DA02"|"3002"|"Donepezil-Mepha Oral"|"N"|NA|NA|NA|NA|2021-12-01|"60535"
"Mepha Pharma AG"|"G"|"19911"|"60535005"|"B"|2012-06-01|"Donepezil-Mepha, Lactabs 10 mg, 50 Stk"|"81.28"|"104.8"|"Y"|NA|"01.99."|"Donepezili hydrochloridum"|"30559"|"N"|"7680605350057"|"N06DA02"|"3002"|"Donepezil-Mepha Oral"|"N"|NA|NA|NA|NA|2021-12-01|"60535"
"Mepha Pharma AG"|"G"|"19911"|"60535006"|"B"|2012-06-01|"Donepezil-Mepha, Lactabs 10 mg, 100 Stk"|"160.82"|"191.15"|"Y"|NA|"01.99."|"Donepezili hydrochloridum"|"30557"|"N"|"7680605350064"|"N06DA02"|"3002"|"Donepezil-Mepha Oral"|"N"|NA|NA|NA|NA|2021-12-01|"60535"
"Swedish Orphan Biovitrum AG"|NA|"21239"|"67893001"|"A"|2022-01-01|"Doptelet, Filmtabl 20 mg, Blist 10 Stk"|"620.37"|"691.1"|"Y"|NA|"06.99."|"Avatrombopagum"|"42246"|"N"|"7680678930019"|"B02BX08"|"4376"|"Doptelet Oral"|"N"|NA|NA|NA|NA|2024-12-01|"67893"
"Swedish Orphan Biovitrum AG"|NA|"21239"|"67893002"|"A"|2022-01-01|"Doptelet, Filmtabl 20 mg, Blist 15 Stk"|"930.56"|"1028.45"|"Y"|NA|"06.99."|"Avatrombopagum"|"42247"|"N"|"7680678930026"|"B02BX08"|"4376"|"Doptelet Oral"|"N"|NA|NA|NA|NA|2024-12-01|"67893"
"Swedish Orphan Biovitrum AG"|NA|"21239"|"67893003"|"A"|2022-01-01|"Doptelet, Filmtabl 20 mg, Blist 30 Stk"|"1861.11"|"2040.5"|"Y"|NA|"06.99."|"Avatrombopagum"|"42248"|"N"|"7680678930033"|"B02BX08"|"4376"|"Doptelet Oral"|"N"|NA|NA|NA|NA|2024-12-01|"67893"
"Cheplapharm Schweiz GmbH"|NA|"14468"|"45163040"|"B"|1988-03-15|"Dormicum, Filmtabl 7.5 mg, 10 Stk"|"2.11"|"11.55"|NA|NA|"01.03.10."|"Midazolamum"|"3311"|"N"|"7680451630402"|"N05CD08"|"758"|"Dormicum Oral"|"N"|NA|NA|NA|NA|2022-10-01|"45163"
"Cheplapharm Schweiz GmbH"|NA|"14468"|"45163016"|"B"|1984-03-15|"Dormicum, Filmtabl 15 mg, 10 Stk"|"4.1"|"13.7"|NA|NA|"01.03.10."|"Midazolamum"|"3309"|"N"|"7680451630167"|"N05CD08"|"758"|"Dormicum Oral"|"N"|NA|NA|NA|NA|2001-07-01|"45163"
"Cheplapharm Schweiz GmbH"|NA|"14468"|"45163024"|"B"|1984-03-15|"Dormicum, Filmtabl 15 mg, 30 Stk"|"10.58"|"27.9"|NA|NA|"01.03.10."|"Midazolamum"|"3310"|"N"|"7680451630242"|"N05CD08"|"758"|"Dormicum Oral"|"N"|NA|NA|NA|NA|2001-07-01|"45163"
"Cheplapharm Schweiz GmbH"|NA|"14468"|"45163032"|"B"|2020-09-01|"Dormicum, Filmtabl 15 mg, 100 Stk"|"32.48"|"51.75"|"Y"|NA|"01.03.10."|"Midazolamum"|"18333"|"N"|"7680451630327"|"N05CD08"|"758"|"Dormicum Oral"|"N"|NA|NA|NA|NA|2020-09-01|"45163"
"Schwabe Pharma AG"|"K"|"17492"|"52326028"|"D"|2001-01-01|"Dormiplant, Filmtabl, 50 Stk"|"8.99"|"16.6"|NA|NA|"51.04.20."|"Valerianae extractum ethanolicum siccum, Melissae extractum ethanolicum siccum"|"33342"|"N"|"7680523260285"|"N05CX99"|"759"|"Dormiplant Oral"|"N"|NA|NA|NA|NA|2025-03-01|"52326"
"Schwabe Pharma AG"|"K"|"17492"|"52326036"|"D"|2001-01-01|"Dormiplant, Filmtabl, 100 Stk"|"15.83"|"29.25"|NA|NA|"51.04.20."|"Valerianae extractum ethanolicum siccum, Melissae extractum ethanolicum siccum"|"33341"|"N"|"7680523260360"|"N05CX99"|"759"|"Dormiplant Oral"|"N"|NA|NA|NA|NA|2025-03-01|"52326"
"OmniVision AG"|"G"|"20557"|"65629001"|"B"|2016-09-01|"DorzoComp-Vision, Gtt Opht 20mg/ml, 5mg/ml, 5 ml"|"12.37"|"29.9"|NA|NA|"11.09."|"Dorzolamidum, Timololum"|"36970"|"N"|"7680656290012"|"S01ED51"|"3686"|"DorzoComp Vision Auge"|"N"|NA|NA|NA|NA|2016-09-01|"65629"
"OmniVision AG"|"G"|"20557"|"65629002"|"B"|2016-09-01|"DorzoComp-Vision, Gtt Opht 20mg/ml, 5mg/ml, 3x 5 ml"|"35.8"|"55.4"|NA|NA|"11.09."|"Dorzolamidum, Timololum"|"36969"|"N"|"7680656290029"|"S01ED51"|"3686"|"DorzoComp Vision Auge"|"N"|NA|NA|NA|NA|2016-09-01|"65629"
"OmniVision AG"|"G"|"21698"|"69149001"|"B"|2024-06-01|"DorzoComp-Vision SDU, Gtt Opht 20mg/ml, 5mg/ml, 60 Monodos 0.2 ml"|"19.78"|"37.95"|NA|NA|"11.09."|"Dorzolamidum, Timololum"|"43795"|"N"|"7680691490019"|"S01ED51"|"3686"|"DorzoComp Vision Auge"|"N"|NA|NA|NA|NA|2024-06-01|"69149"
"OmniVision AG"|"G"|"21698"|"69149002"|"B"|2024-06-01|"DorzoComp-Vision SDU, Gtt Opht 20mg/ml, 5mg/ml, 120 Monodos 0.2 ml"|"37.58"|"57.3"|NA|NA|"11.09."|"Dorzolamidum, Timololum"|"43794"|"N"|"7680691490026"|"S01ED51"|"3686"|"DorzoComp Vision Auge"|"N"|NA|NA|NA|NA|2024-06-01|"69149"
"OmniVision AG"|"G"|"20053"|"62671001"|"B"|2013-04-01|"Dorzo-Vision, Gtt Opht 2 %, 5 ml"|"9.85"|"27.15"|NA|NA|"11.09."|"Dorzolamidum"|"32055"|"N"|"7680626710014"|"S01EC03"|"3128"|"Dorzo-Vision Auge"|"N"|NA|NA|NA|NA|2019-12-01|"62671"
"OmniVision AG"|"G"|"20053"|"62671002"|"B"|2013-04-01|"Dorzo-Vision, Gtt Opht 2 %, 3x 5 ml"|"21.5"|"39.8"|NA|NA|"11.09."|"Dorzolamidum"|"32054"|"N"|"7680626710021"|"S01EC03"|"3128"|"Dorzo-Vision Auge"|"N"|NA|NA|NA|NA|2019-12-01|"62671"
"Boehringer Ingelheim (Schweiz) GmbH"|"O"|"17461"|"53844022"|"B"|2001-07-01|"Dospir, Inhal Lös, 60x 2.5 ml"|"16"|"33.7"|NA|NA|"03.04.30."|"Ipratropii bromidum anhydricum, Salbutamolum"|"12587"|"N"|"7680538440221"|"R03AL02"|"762"|"Dospir Inhalation"|"N"|NA|NA|NA|NA|2019-12-01|"53844"
"Pfizer AG"|NA|"16472"|"51756001"|"B"|1996-03-15|"Dostinex, Tabl 0.5 mg, Fl 2 Stk"|"8.92"|"26.1"|NA|NA|"07.03.10."|"Cabergolinum"|"38049"|"N"|"7680517560018"|"G02CB03"|"763"|"Dostinex Oral"|"N"|NA|NA|NA|NA|2023-12-01|"51756"
"Pfizer AG"|NA|"16472"|"51756002"|"B"|1996-03-15|"Dostinex, Tabl 0.5 mg, Fl 8 Stk"|"32.99"|"52.3"|NA|NA|"07.03.10."|"Cabergolinum"|"38050"|"N"|"7680517560025"|"G02CB03"|"763"|"Dostinex Oral"|"N"|NA|NA|NA|NA|2023-12-01|"51756"
"Guerbet AG"|"O"|"15913"|"49784015"|"B"|1994-03-15|"Dotarem, Inj Lös 2.793 g/10ml, Durchstf 10 ml"|"41.96"|"61.15"|NA|NA|"14.02."|"Acidum gadotericum"|"3326"|"N"|"7680497840155"|"V08CA02"|"764"|"Dotarem Parenteral"|"N"|NA|NA|NA|NA|2024-12-01|"49784"
"Guerbet AG"|"O"|"15913"|"49784023"|"B"|1994-03-15|"Dotarem, Inj Lös 4.189 g/15ml, Durchstf 15 ml"|"57.03"|"77.2"|NA|NA|"14.02."|"Acidum gadotericum"|"3327"|"N"|"7680497840230"|"V08CA02"|"764"|"Dotarem Parenteral"|"N"|NA|NA|NA|NA|2024-12-01|"49784"
"Guerbet AG"|"O"|"15913"|"49784031"|"B"|1994-03-15|"Dotarem, Inj Lös 5.586 g/20ml, Durchstf 20 ml"|"72.07"|"93.25"|NA|NA|"14.02."|"Acidum gadotericum"|"3328"|"N"|"7680497840315"|"V08CA02"|"764"|"Dotarem Parenteral"|"N"|NA|NA|NA|NA|2024-12-01|"49784"
"Guerbet AG"|"O"|"15913"|"49784082"|"B"|2020-04-01|"Dotarem, Inj Lös 16.76 g/60ml, Durchstf 60 ml"|"216.21"|"245.65"|"Y"|NA|"14.02."|"Acidum gadotericum"|"21505"|"N"|"7680497840827"|"V08CA02"|"764"|"Dotarem Parenteral"|"N"|NA|NA|NA|NA|2024-12-01|"49784"
"Guerbet AG"|"O"|"15913"|"49784001"|"B"|2021-01-01|"Dotarem, Inj Lös 2.793 g/10 ml, Plastik-Fertspr 10 ml"|"41.96"|"61.15"|NA|NA|"14.02."|"Acidum gadotericum"|"41517"|"N"|"7680497840018"|"V08CA02"|"764"|"Dotarem Parenteral"|"N"|NA|NA|NA|NA|2024-12-01|"49784"
"Guerbet AG"|"O"|"15913"|"49784002"|"B"|2021-01-01|"Dotarem, Inj Lös 4.189 g/15 ml, Plastik-Fertspr 15 ml"|"57.03"|"77.2"|NA|NA|"14.02."|"Acidum gadotericum"|"41518"|"N"|"7680497840025"|"V08CA02"|"764"|"Dotarem Parenteral"|"N"|NA|NA|NA|NA|2024-12-01|"49784"
"Guerbet AG"|"O"|"15913"|"49784003"|"B"|2021-01-01|"Dotarem, Inj Lös 5.586 g/20 ml, Plastik-Fertspr 20 ml"|"72.07"|"93.25"|NA|NA|"14.02."|"Acidum gadotericum"|"41519"|"N"|"7680497840032"|"V08CA02"|"764"|"Dotarem Parenteral"|"N"|NA|NA|NA|NA|2024-12-01|"49784"
"ViiV Healthcare GmbH"|NA|"21042"|"67313001"|"A"|2020-06-01|"Dovato, Filmtabl 50/300 mg, Fl 30 Stk"|"740.69"|"821.95"|NA|NA|"08.03."|"Dolutegravirum, Lamivudinum"|"41115"|"N"|"7680673130018"|"J05AR25"|"4132"|"Dovato Oral"|"N"|NA|NA|NA|NA|2020-06-01|"67313"
"ViiV Healthcare GmbH"|NA|"21042"|"67313002"|"A"|2024-04-01|"Dovato, Filmtabl 50/300 mg, Blist 30 Stk"|"740.69"|"821.95"|NA|NA|"08.03."|"Dolutegravirum, Lamivudinum"|"43709"|"N"|"7680673130025"|"J05AR25"|"4132"|"Dovato Oral"|"N"|NA|NA|NA|NA|2024-04-01|"67313"
"Helvepharm AG"|"G"|"18931"|"59194009"|"B"|2009-02-01|"Doxazosin retard Zentiva, Ret Filmtabl 4 mg, Blist 28 Stk"|"8.92"|"26.1"|"Y"|NA|"02.07.10."|"Doxazosinum"|"42455"|"N"|"7680591940096"|"C02CA04"|"765"|"Doxazosin OralRetard"|"N"|NA|NA|NA|NA|2022-12-01|"59194"
"Helvepharm AG"|"G"|"18931"|"59194010"|"B"|2009-02-01|"Doxazosin retard Zentiva, Ret Filmtabl 4 mg, Blist 98 Stk"|"29.08"|"48.05"|"Y"|NA|"02.07.10."|"Doxazosinum"|"42456"|"N"|"7680591940102"|"C02CA04"|"765"|"Doxazosin OralRetard"|"N"|NA|NA|NA|NA|2022-12-01|"59194"
"Helvepharm AG"|"G"|"18931"|"59194011"|"B"|2009-02-01|"Doxazosin retard Zentiva, Ret Filmtabl 8 mg, Blist 28 Stk"|"11.58"|"29"|"Y"|NA|"02.07.10."|"Doxazosinum"|"42457"|"N"|"7680591940119"|"C02CA04"|"765"|"Doxazosin OralRetard"|"N"|NA|NA|NA|NA|2022-12-01|"59194"
"Helvepharm AG"|"G"|"18931"|"59194012"|"B"|2009-02-01|"Doxazosin retard Zentiva, Ret Filmtabl 8 mg, Blist 98 Stk"|"42.59"|"62.75"|"Y"|NA|"02.07.10."|"Doxazosinum"|"42458"|"N"|"7680591940126"|"C02CA04"|"765"|"Doxazosin OralRetard"|"N"|NA|NA|NA|NA|2022-12-01|"59194"
"OM Pharma SA"|NA|"12396"|"39217023"|"B"|1977-03-15|"Doxium, Kaps 500 mg, 30 Stk"|"7.9"|"17.85"|NA|NA|"02.08.10."|"Calcii dobesilas monohydricum"|"3335"|"N"|"7680392170234"|"C05BX01"|"767"|"Doxium Oral"|"N"|NA|NA|NA|NA|2023-04-01|"39217"
"OM Pharma SA"|NA|"12396"|"39217031"|"B"|1977-03-15|"Doxium, Kaps 500 mg, 60 Stk"|"13.91"|"31.55"|NA|NA|"02.08.10."|"Calcii dobesilas monohydricum"|"3336"|"N"|"7680392170319"|"C05BX01"|"767"|"Doxium Oral"|"N"|NA|NA|NA|NA|2023-04-01|"39217"
"OM Pharma Suisse SA"|NA|"21602"|"69172001"|"B"|2023-09-01|"Doxocur, Kaps 500 mg, Blist 30 Stk"|"7.9"|"17.85"|NA|NA|"02.08.10."|"Calcii dobesilas monohydricum"|"43403"|"N"|"7680691720017"|"C05BX01"|"4614"|"Doxocur Oral"|"N"|NA|NA|NA|NA|2023-09-01|"69172"
"OM Pharma Suisse SA"|NA|"21602"|"69172002"|"B"|2023-09-01|"Doxocur, Kaps 500 mg, Blist 60 Stk"|"13.91"|"31.55"|NA|NA|"02.08.10."|"Calcii dobesilas monohydricum"|"43404"|"N"|"7680691720024"|"C05BX01"|"4614"|"Doxocur Oral"|"N"|NA|NA|NA|NA|2023-09-01|"69172"
"Sandoz Pharmaceuticals AG"|"G"|"20228"|"54828001"|"A"|2014-05-01|"Doxorubicin Sandoz eco, Inj Lös 10 mg/5ml, 5 ml"|"11.06"|"28.5"|NA|NA|"07.16.10."|"Doxorubicini hydrochloridum"|"33648"|"N"|"7680548280015"|"L01DB01"|"3362"|"Doxorubicin Sandoz eco Parenteral"|"N"|NA|NA|NA|NA|2023-12-01|"54828"
"Sandoz Pharmaceuticals AG"|"G"|"20228"|"54828002"|"A"|2014-05-01|"Doxorubicin Sandoz eco, Inj Lös 50 mg/25ml, 25 ml"|"55.3"|"76.55"|NA|NA|"07.16.10."|"Doxorubicini hydrochloridum"|"33649"|"N"|"7680548280022"|"L01DB01"|"3362"|"Doxorubicin Sandoz eco Parenteral"|"N"|NA|NA|NA|NA|2023-12-01|"54828"
"Sandoz Pharmaceuticals AG"|"G"|"20228"|"54828003"|"A"|2014-05-01|"Doxorubicin Sandoz eco, Inj Lös 100 mg/50ml, 50 ml"|"110.6"|"136.7"|NA|NA|"07.16.10."|"Doxorubicini hydrochloridum"|"33650"|"N"|"7680548280039"|"L01DB01"|"3362"|"Doxorubicin Sandoz eco Parenteral"|"N"|NA|NA|NA|NA|2023-12-01|"54828"
"Sandoz Pharmaceuticals AG"|"G"|"20228"|"54828004"|"A"|2020-07-01|"Doxorubicin Sandoz eco, Inj Lös 200 mg/100ml, 100 ml"|"221.2"|"257"|"Y"|NA|"07.16.10."|"Doxorubicini hydrochloridum"|"33651"|"N"|"7680548280046"|"L01DB01"|"3362"|"Doxorubicin Sandoz eco Parenteral"|"N"|NA|NA|NA|NA|2023-12-01|"54828"
"Teva Pharma AG"|"G"|"19199"|"59350001"|"A"|2010-04-01|"Doxorubicin-Teva, Inj Lös 10 mg/5ml, Durchstf 5 ml"|"12.16"|"29.6"|NA|NA|"07.16.10."|"Doxorubicini hydrochloridum"|"25493"|"N"|"7680593500014"|"L01DB01"|"772"|"Doxorubicin-Teva Parenteral"|"N"|NA|NA|NA|NA|2024-12-01|"59350"
"Teva Pharma AG"|"G"|"19199"|"59350003"|"A"|2010-04-01|"Doxorubicin-Teva, Inj Lös 50 mg/25ml, Durchstf 25 ml"|"55.34"|"76.6"|NA|NA|"07.16.10."|"Doxorubicini hydrochloridum"|"25495"|"N"|"7680593500038"|"L01DB01"|"772"|"Doxorubicin-Teva Parenteral"|"N"|NA|NA|NA|NA|2023-12-01|"59350"
"Spirig HealthCare AG"|"G"|"13897"|"44000060"|"A"|1983-03-15|"Doxyclin, Tabl 100 mg, 8 Stk"|"3.76"|"13.35"|NA|NA|"08.01.50."|"Doxycyclinum"|"30971"|"N"|"7680440000605"|"J01AA02"|"773"|"Doxyclin Oral"|"N"|NA|NA|NA|NA|2019-12-01|"44000"
"Spirig HealthCare AG"|"G"|"13897"|"44000061"|"A"|1983-03-15|"Doxyclin, Tabl 100 mg, 32 Stk"|"14.42"|"31.85"|NA|NA|"08.01.50."|"Doxycyclinum"|"30970"|"N"|"7680440000612"|"J01AA02"|"773"|"Doxyclin Oral"|"N"|NA|NA|NA|NA|2019-12-01|"44000"
"Spirig HealthCare AG"|"G"|"13897"|"44000033"|"A"|1987-03-15|"Doxyclin forte, Tabl 200 mg, 8 Stk"|"6.63"|"16.45"|NA|NA|"08.01.50."|"Doxycyclinum"|"30972"|"N"|"7680440000339"|"J01AA02"|"773"|"Doxyclin Oral"|"N"|NA|NA|NA|NA|2019-12-01|"44000"
"Mepha Pharma AG"|"G"|"20478"|"65952002"|"A"|2016-02-01|"Doxycyclin-Mepha, Tabl 100 mg, 10 Stk"|"4.53"|"14.15"|NA|NA|"08.01.50."|"Doxycyclinum"|"35547"|"N"|"7680659520024"|"J01AA02"|"3583"|"Doxycyclin-Mepha Oral"|"N"|NA|NA|NA|NA|2023-01-01|"65952"
"Mepha Pharma AG"|"G"|"20478"|"65952001"|"A"|2016-02-01|"Doxycyclin-Mepha, Tabl 100 mg, 20 Stk"|"8.26"|"25.55"|NA|NA|"08.01.50."|"Doxycyclinum"|"35548"|"N"|"7680659520017"|"J01AA02"|"3583"|"Doxycyclin-Mepha Oral"|"N"|NA|NA|NA|NA|2019-12-01|"65952"
"Mepha Pharma AG"|"G"|"20478"|"65952003"|"A"|2016-02-01|"Doxycyclin-Mepha, Tabl 200 mg, 10 Stk"|"7.75"|"17.6"|NA|NA|"08.01.50."|"Doxycyclinum"|"35549"|"N"|"7680659520031"|"J01AA02"|"3583"|"Doxycyclin-Mepha Oral"|"N"|NA|NA|NA|NA|2019-12-01|"65952"
"Lagap SA"|"G"|"13888"|"42688010"|"A"|1982-03-15|"Doxylag, Kaps 100 mg, 8 Stk"|"3.71"|"13.3"|NA|NA|"08.01.50."|"Doxycyclinum"|"3353"|"N"|"7680426880108"|"J01AA02"|"776"|"Doxylag Oral"|"N"|NA|NA|NA|NA|2022-12-01|"42688"
