"ZULASSUNGSNUMMER","PRAEPARATENAME","ARZNEIFORM","ATC_CODE","HEILMITTEL_CODE","ZULASSUNGSSTATUS","ZULASSUNGSKATEGORIE","ERSTZULASSUNGSDATUM","BASIS_ZULASSUNGSNUMMER","ABGABEKATEGORIE","IT_NUMMER","ANWENDUNGSGEBIET","ABLAUFDATUM","CHARGENFREIGABE_PFLICHT","EINZELEINFUHR_BEWILLIG_PFLICHT","Praep_Name","anz","ZULASSUNGSINHABERIN"
61758,"Prick-Test Cyprinus carpio, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test cyprinus carpio",NA,"Allergopharma AG"
61759,"Prick-Test Caro suis, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test caro suis",NA,"Allergopharma AG"
61760,"Prick-Test Caro bovis, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test caro bovis",NA,"Allergopharma AG"
61762,"Prick-Test Quercus robur, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test quercus robur",NA,"Allergopharma AG"
61763,"Prick-Test Asparagus officinalis, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test asparagus officinalis",NA,"Allergopharma AG"
61744,"Prick-Test Mixtura Graminea-Cerealis, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test mixtura graminea-cerealis",NA,"Allergopharma AG"
61790,"Prick-Test Salix caprea, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test salix caprea",NA,"Allergopharma AG"
61820,"Prick-Test Equus caballus, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test equus caballus",NA,"Allergopharma AG"
61821,"Prick-Test Sus scrofa domestica, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test sus scrofa domestica",NA,"Allergopharma AG"
61822,"Prick-Test Cavia porcellus, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Alergien",9999-12-31,"","","prick-test cavia porcellus",NA,"Allergopharma AG"
61823,"Prick-Test Oryctolagus cuniculus domesticus, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test oryctolagus cuniculus domesticus",NA,"Allergopharma AG"
61825,"Prick-Test Bos taurus, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test bos taurus",NA,"Allergopharma AG"
61827,"Prick-Test Tilia cordata, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test tilia cordata",NA,"Allergopharma AG"
61828,"Prick-Test Populus alba, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test populus alba",NA,"Allergopharma AG"
61829,"Prick-Test Mesocricetus auratus, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test mesocricetus auratus",NA,"Allergopharma AG"
61830,"Prick-Test Canis lupus familiaris, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test canis lupus familiaris",NA,"Allergopharma AG"
61831,"Prick-Test Platanus orientalis, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test platanus orientalis",NA,"Allergopharma AG"
61832,"Prick-Test Ulmus scabra, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test ulmus scabra",NA,"Allergopharma AG"
61835,"Prick-Test Penicillium notatum, Pricktestösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test penicillium notatum",NA,"Allergopharma AG"
61837,"Prick-Test Mucor mucedo, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test mucor mucedo",NA,"Allergopharma AG"
61838,"Prick-Test Helminthosporium halodes, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test helminthosporium halodes",NA,"Allergopharma AG"
61839,"Prick-Test Fusarium moniliforme, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test fusarium moniliforme",NA,"Allergopharma AG"
61789,"Prick-Test Avena sativa, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test avena sativa",NA,"Allergopharma AG"
61818,"Prick-Test Felis domesticus, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test felis domesticus",NA,"Allergopharma AG"
61811,"Prick-Test Poa pratensis, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test poa pratensis",NA,"Allergopharma AG"
61791,"Prick-Test Hordeum vulgare, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test hordeum vulgare",NA,"Allergopharma AG"
61792,"Prick-Test Alternaria alternata, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test alternaria alternata",NA,"Allergopharma AG"
61794,"Prick-Test Zea mays, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test zea mays",NA,"Allergopharma AG"
61795,"Prick-Test Zeae maydis farina, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test zeae maydis farina",NA,"Allergopharma AG"
61799,"Prick-Test Botrytis cinerea, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test botrytis cinerea",NA,"Allergopharma AG"
61800,"Prick-Test Ovum gallinae (toto), Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test ovum gallinae (toto)",NA,"Allergopharma AG"
61801,"Prick-Test Pimpinella anisum, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test pimpinella anisum",NA,"Allergopharma AG"
61802,"Prick-Test Chamomilla recutita, Pricktestösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test chamomilla recutita",NA,"Allergopharma AG"
61803,"Prick-Test Apii radix, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test apii radix",NA,"Allergopharma AG"
61804,"Prick-Test Capsicum (condimentum), Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test capsicum (condimentum)",NA,"Allergopharma AG"
61805,"Prick-Test Ovum gallinae (albumen ovi), Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test ovum gallinae (albumen ovi)",NA,"Allergopharma AG"
61806,"Prick-Test Ovum gallinae (luteum ovi), Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test ovum gallinae (luteum ovi)",NA,"Allergopharma AG"
61808,"Prick-Test Lac vaccinum, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test lac vaccinum",NA,"Allergopharma AG"
61809,"Prick-Test Triticum sativum, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test triticum sativum",NA,"Allergopharma AG"
61810,"Prick-Test Phleum pratense, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test phleum pratense",NA,"Allergopharma AG"
61812,"Prick-Test Festuca pratensis, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test festuca pratensis",NA,"Allergopharma AG"
61605,"Provokations-Test Aspergillus fumigatus, Pulver und Lösungsmittel zur Herstellung einer Provokationslösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test aspergillus fumigatus",NA,"Allergopharma AG"
61607,"Provokations-Test Fagus sylvatica, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test fagus sylvatica",NA,"Allergopharma AG"
61609,"Provokations-Test Arbores I, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test arbores i",NA,"Allergopharma AG"
61614,"Provokations-Test Acarus siro, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test acarus siro",NA,"Allergopharma AG"
61615,"Provokations-Test Lepidoglyphus destructor, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test lepidoglyphus destructor",NA,"Allergopharma AG"
61616,"Provokations-Test Negativkontrolle, Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test negativkontrolle",NA,"Allergopharma AG"
61617,"Provokations-Test D. pteronyssinus, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test d. pteronyssinus",NA,"Allergopharma AG"
61618,"Provokations-Test Salix caprea, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test salix caprea",NA,"Allergopharma AG"
61619,"Provokations-Test Ulmus scabra, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test ulmus scabra",NA,"Allergopharma AG"
61603,"Provokations-Test Alternaria alternata, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test alternaria alternata",NA,"Allergopharma AG"
61602,"Provokations-Test Betula spec., Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test betula spec.",NA,"Allergopharma AG"
61600,"Provokations-Test Quercus robur, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test quercus robur",NA,"Allergopharma AG"
61582,"Provokations-Test Tilia cordata, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test tilia cordata",NA,"Allergopharma AG"
61584,"Provokations-Test Ambrosia artemisiifolia, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test ambrosia artemisiifolia",NA,"Allergopharma AG"
61585,"Provokations-Test Artemisia vulgaris, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test artemisia vulgaris",NA,"Allergopharma AG"
61586,"Provokations-Test Taraxacum vulgare, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test taraxacum vulgare",NA,"Allergopharma AG"
61587,"Provokations-Test Mixtura Graminea, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test mixtura graminea",NA,"Allergopharma AG"
61589,"Provokations-Test Botrytis cinerea, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test botrytis cinerea",NA,"Allergopharma AG"
61590,"Provokations-Test Fraxinus excelsior, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test fraxinus excelsior",NA,"Allergopharma AG"
61591,"Provokations-Test Urtica dioica, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test urtica dioica",NA,"Allergopharma AG"
61593,"Provokations-Test Corylus avellana, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test corylus avellana",NA,"Allergopharma AG"
61595,"Provokations-Test Tyrophagus putrescentiae, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test tyrophagus putrescentiae",NA,"Allergopharma AG"
61596,"Provokations-Test Platanus orientalis, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test platanus orientalis",NA,"Allergopharma AG"
61597,"Provokations-Test Cladosporium herbarum, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test cladosporium herbarum",NA,"Allergopharma AG"
61598,"Provokations-Test Robinia pseudoacacia, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test robinia pseudoacacia",NA,"Allergopharma AG"
61599,"Provokations-Test Plantago lanceolata, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test plantago lanceolata",NA,"Allergopharma AG"
61601,"Provokations-Test Alnus glutinosa, Pulver und Lösungsmittel zur Herstellung einer Provokationstestlösung","LSPRO","V04CL","ALD","Z","",2010-11-08,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","provokations-test alnus glutinosa",NA,"Allergopharma AG"
61742,"Prick-Test Corylus avellana, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test corylus avellana",NA,"Allergopharma AG"
61690,"Prick-Test Lepidoglyphus destructor, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test lepidoglyphus destructor",NA,"Allergopharma AG"
61718,"Prick-Test Epithelia Animalum I, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test epithelia animalum i",NA,"Allergopharma AG"
61719,"Prick-Test Arbores I, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test arbores i",NA,"Allergopharma AG"
61720,"Prick-Test Arachis hypogaea, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test arachis hypogaea",NA,"Allergopharma AG"
61723,"Prick-Test Citrus reticulata, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test citrus reticulata",NA,"Allergopharma AG"
61724,"Prick-Test Musa paradisiaca, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test musa paradisiaca",NA,"Allergopharma AG"
61725,"Prick-Test Mytilus edulis, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test mytilus edulis",NA,"Allergopharma AG"
61728,"Prick-Test Lycopersicum, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test lycopersicum",NA,"Allergopharma AG"
61729,"Prick-Test Nux avellana, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test nux avellana",NA,"Allergopharma AG"
61730,"Prick-Test Juglans regia, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test juglans regia",NA,"Allergopharma AG"
61733,"Prick-Test Uva, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test uva",NA,"Allergopharma AG"
61735,"Prick-Test Brassica oleracea, Pricktestlösung","LSKU","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test brassica oleracea",NA,"Allergopharma AG"
61736,"Prick-Test Herbarius, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test herbarius",NA,"Allergopharma AG"
61737,"Prick-Test Salmo salar, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test salmo salar",NA,"Allergopharma AG"
61738,"Prick-Test Fraxinus excelsior, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test fraxinus excelsior",NA,"Allergopharma AG"
61739,"Prick-Test Robinia pseudoacacia, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test robinia pseudoacacia",NA,"Allergopharma AG"
61740,"Prick-Test Acer pseudoplatanus, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test acer pseudoplatanus",NA,"Allergopharma AG"
61717,"Prick-Test Caro II, topische Lösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test caro ii",NA,"Allergopharma AG"
61693,"Prick-Test Chenopodium album, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test chenopodium album",NA,"Allergopharma AG"
61716,"Prick-Test Citrus aurantium/sinensis, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test citrus aurantium/sinensis",NA,"Allergopharma AG"
61714,"Prick-Test Ananas comosus, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test ananas comosus",NA,"Allergopharma AG"
61695,"Prick-Test Artemisia vulgaris, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test artemisia vulgaris",NA,"Allergopharma AG"
61696,"Prick-Test Urticaria dioica, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test urticaria dioica",NA,"Allergopharma AG"
61697,"Prick-Test Parietaria officinalis, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test parietaria officinalis",NA,"Allergopharma AG"
61698,"Prick-Test Taraxacum vulgare, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test taraxacum vulgare",NA,"Allergopharma AG"
61699,"Prick-Test Ambrosia artemisiifolia, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test ambrosia artemisiifolia",NA,"Allergopharma AG"
61701,"Prick-Test D. farinae, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test d. farinae",NA,"Allergopharma AG"
61702,"Prick-Test Tyrophagus putrescentiae, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test tyrophagus putrescentiae",NA,"Allergopharma AG"
61703,"Prick-Test Caro anatina, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test caro anatina",NA,"Allergopharma AG"
61704,"Prick-Test D. pteronyssinus, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test d. pteronyssinus",NA,"Allergopharma AG"
61705,"Prick-Test Caro vervecis, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test caro vervecis",NA,"Allergopharma AG"
61706,"Prick-Test Caro anseris, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test caro anseris",NA,"Allergopharma AG"
61707,"Prick-Test Caro gallinae, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test caro gallinae",NA,"Allergopharma AG"
61708,"Prick-Test Caro Meleagris, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test caro meleagris",NA,"Allergopharma AG"
61709,"Prick-Test Acarus siro, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test acarus siro",NA,"Allergopharma AG"
61710,"Prick-Test Caro I, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test caro i",NA,"Allergopharma AG"
61712,"Prick-Test Solea vulgaris, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test solea vulgaris",NA,"Allergopharma AG"
61713,"Prick-Test Thunnus, Pricktestlösung","LSPRI","V04CL","ALD","Z","",2010-10-18,"","A","14.03.0.","Diagnose von Allergien",9999-12-31,"","","prick-test thunnus",NA,"Allergopharma AG"
41728,"Rocaltrol, Kapseln","KAPWE","A11CC04","S","Z","",1978-09-18,"","B","07.02.3.","Renale Osteodystrophie, Hypoparathyreoidismus, Rachitis, postmenopausale Osteoporose",9999-12-31,"","","rocaltrol",NA,"Atnahs Pharma Switzerland AG"
38605,"Miacalcic, Injektionslösung","LSINJ","H05BA01","S","Z","",1976-05-17,"","B","07.05.2.","Osteoporoseprävention, Morbus Paget, Hyperkalzämie, Neurodystrophische Störungen",9999-12-31,"","","miacalcic",2,"Future Health Pharma GmbH"
39252,"Lopresor, Filmtabletten","FILM","C07AB02","S","Z","",1975-05-15,"","B","02.03.0.","Beta-Rezeptorenblocker",9999-12-31,"","","lopresor",NA,"Daiichi Sankyo (Schweiz) AG"
44447,"Lopresor Retard 200 mg, Retardtabletten","RETT","C07AB02","S","Z","",1982-01-29,"","B","02.03.0.","Betarezeptorenblocker",9999-12-31,"","","lopresor retard 200 mg",NA,"Daiichi Sankyo (Schweiz) AG"
55907,"Olmetec, Filmtabletten","FILM","C09CA08","S","Z","",2005-04-15,"","B","02.07.1.","Essentielle Hypertonie",9999-12-31,"","","olmetec",NA,"Daiichi Sankyo (Schweiz) AG"
57038,"Olmetec Plus, Filmtabletten","FILM","C09DA08","S","Z","",2005-07-12,"","B","02.07.2.","Essentielle Hypertonie",9999-12-31,"","","olmetec plus",NA,"Daiichi Sankyo (Schweiz) AG"
58778,"Sevikar, Filmtabletten","FILM","C09DB02","S","Z","",2008-10-08,"","B","02.07.2.","essentielle Hypertonie",9999-12-31,"","","sevikar",NA,"Daiichi Sankyo (Schweiz) AG"
59136,"Efient, comprimés pelliculés","FILM","B01AC22","S","Z","",2009-07-30,"","B","06.03.2.","In Kombination mit Acetylsalicylsäure (ASS) zur Prävention atherothrombotischer Ereignisse",9999-12-31,"","","efient",NA,"Leman SKL SA"
61519,"Sevikar HCT, Filmtabletten","FILM","C09DX03","S","Z","",2011-05-30,"","B","02.07.2.","Hypertonie",9999-12-31,"","","sevikar hct",NA,"Daiichi Sankyo (Schweiz) AG"
